id,words,value
1,governo,0
1,minuti,0
1,piano,-0.7153263
1,presentazione,0
1,scuola,-0.2930168
1,stay,0
1,tuned,0
2,appuntamento,-0.3014101
3,dentro,0
3,devono,-1.4476119
3,esempi,0.4039179
3,essere,0.1491227
3,già,-0.0130676
3,scuola,-0.2930168
4,discorso,-0.3416543
4,os,0
4,renzi,0
4,riforma,0.3269558
4,scuola,-0.2930168
5,basta,0
5,coraggio,-0.1782130
5,prof,0
5,supplenti,0
5,valutare,1.6065520
6,appuntamento,-0.3014101
6,bravo,1.6967693
7,eccolo,0
7,line,0
7,on,0
7,qui,0
7,rapporto,0
8,ah,0
8,ecco,0
8,libricino,0
8,no,-0.7562506
9,arte,0.5589142
9,biologia,0.4984739
9,buona,1.2762666
9,chimica,0
9,fisica,1.2749130
9,fisica,0.3642609
9,geografia,0
9,greco,0
9,lingue,-0.3764583
9,matematica,1.1415930
9,matematica,1.1415930
9,scuola,-0.2930168
9,storia,-0.6289594
10,direi,0.6108856
10,euro,0
10,gelato,-1.1882690
10,kg,0
10,pischello,-1.0872350
10,quasi,0.2139592
10,visto,0
10,vogliono,0.2318038
11,ecco,0
11,piano,-0.7153263
11,presentato,0.3385794
11,punti,-1.9896200
11,punti,0.2603674
11,punti,0.5028711
12,cuore,-0.0635988
12,resta,0
13,guida,0.3098117
13,linee,0.0223794
13,presenta,0.3305311
13,scuola,-0.2930168
14,capito,0.6579523
14,capito,-0.7112998
14,debito,-0.5686544
14,esami,0.3630998
14,fare,0.1700394
14,lavorare,-0.8219118
14,meglio,1.4075560
14,ok,0
14,torno,1.3584870
14,torno,1.3584870
15,documento,0.3768057
16,ecco,0
16,giornalettismo,0
16,piano,-0.7153263
17,cc,0
17,consultabile,0
17,direttamente,0.2553608
17,intanto,0
17,online,0
18,buona,1.2762666
18,escluso,0
18,nessuno,0
18,scuola,-0.2930168
18,senta,-0.0207995
19,governo,0
19,link,0
19,online,0
19,rapporto,0
19,trova,0.2444287
20,coinvolgerà,0
20,linea,0.0172456
20,linea,0.5982991
20,oggi,0.2300098
20,passato,-0.5378283
20,passato,0.2482285
20,percorso,0
20,rinnovamento,0.4784123
20,tiriamo,0.8184046
21,devono,-1.4476119
21,famiglie,1.5357820
21,informato,1.2752110
21,invalsi,0
21,modo,0.7535947
21,obbligatorio,0
21,poter,0.2488929
21,pubblicarli,0
21,rendere,0.6690659
21,riforma,0.3269558
21,ruolo,0
21,scegliere,0
21,scuola,-0.2930168
21,test,0.3524370
22,cambierà,-0.0623898
22,centro,0.4642033
22,italia,0
22,metteremo,-0.3076246
22,scuola,-0.2930168
22,solo,-0.1194989
23,ecco,0
23,fatti,0.2953312
23,fatti,-0.1500664
23,fatti,0.5005614
23,giuste,1.1183670
23,parole,0
23,punti,0.2603674
23,punti,-1.9896200
23,punti,0.5028711
23,traduzione,-1.0386300
23,vedremo,0.3299474
24,anno,0
24,assunti,-1.1126012
24,ecco,0
24,mila,0
24,piano,-0.7153263
24,precari,-0.1206297
24,scuola,-0.2930168
24,solo,-0.1194989
